stasiun_id,net,kode_stasiun,lintang,bujur,elevasi,lokasi,provinsi,provinsi_id,upt_penanggung_jawab,upt_id,status,tahun_instalasi,jaringan,jaringan_id,prioritas,keterangan,accelerometer,digitizer_komunikasi,tipe_shelter,lokasi_shelter,penjaga_shelter,kondisi_shelter,assets_shelter,access_shelter,photo_shelter,penggantian_terakhir_alat,updated_at,quality_percentage,result,site_quality,summary_kualitas,persentase_kualitas
377,"IA","SIJM","-7.4101100","112.7605040",24,"Type MR, Sidoarjo,Sidoarjo,Jawa Timur","Jawa Timur",3,"Stageof-Pasuruan",3,"aktif",2019,"INA Minireg",4,"P2",,"installed","Nanometrics-Centaur-2019-GSM","posthole","outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:26.000Z",77.01,"Cukup Baik","Poor","Cukup Baik","77.0%"
378,"IA","SIRSI","0.8920000","101.2360000",79,"Siak, Riau, Sumatra, Indonesia","Riau",16,"Stageof-Padang-Panjang",20,"aktif",2021,"BB2021",13,"P2",,"installed","Guralp-Minimus-2021-Idirect","posthole","outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:26.000Z",0,"Mati","Poor","Mati","0.0%"
379,"IA","SISM","4.6082000","96.7288000",1034,"Type MR, Silih Nara,Aceh Tengah,Aceh","Aceh",9,"Stageof-Aceh-Besar",19,"aktif",2019,"INA Minireg",4,"P2",,"installed","Nanometrics-Centaur-2019-GSM",,"outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:26.000Z",1,"Buruk","Good","Buruk","1.0%"
380,"IA","SISMI","-1.7806000","99.1401800",39,"Siberut Selatan, Kepulauan Mentawai, Sumatera Barat","Sumatera Barat",14,"Stageof-Padang-Panjang",20,"aktif",2023,"IDRIP83",6,"P1",,"installed","Quantera-Q8-2023-Idirect",,"outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:26.000Z",93.28,"Baik","Good","Baik","93.3%"
381,"IA","SIUMI","-1.1260000","98.9800000",9,"Siberut Utara, Kepulauan Mentawai, Sumatera Barat","Sumatera Barat",14,"Stageof-Padang-Panjang",20,"aktif",2023,"IDRIP83",6,"P1",,"installed","Quantera-Q8-2023-Idirect",,"outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:26.000Z",87.89,"Cukup Baik","Poor","Cukup Baik","87.9%"
382,"IA","SJPM","-2.5698000","140.5020000",192,"Station, Type MR, Sentani, Jayapura","Papua",8,"Stageof-Nabire",11,"aktif",2020,"MR2020",1,"P1",,"installed","Kinemetrics-QuanteraQ330s+-2020-Idirect",,"outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:26.000Z",85.74,"Cukup Baik","Fair","Cukup Baik","85.7%"
383,"IA","SKJI","-7.0053000","106.5563000",100.35,"Station Sukabumi, Java","Jawa Barat",5,"Stageof-Sukabumi",26,"aktif",2006,"LIBRA",2,"P2",,"installed","Guralp-Minimus+2024-Fiberoptic-M2M","surface","inside_BMKG_office","tidak_ada","baik",,,,,"2026-07-06T04:00:27.000Z",91.77,"Baik","Good","Baik","91.8%"
384,"IA","SKPM","-3.4485000","140.7256000",343,"Station Type MR, Senggi, Keerom, Papua","Papua",8,"Stageof-Jayapura",8,"aktif",2020,"MR2020",1,"P1",,"installed","Kinemetrics-QuanteraQ330s+-2020-Idirect",,"outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:27.000Z",82.11,"Cukup Baik","Fair","Cukup Baik","82.1%"
385,"IA","SKSI","5.8944720","95.3127100",12,"Station Type A, Sukakarya,Kota Sabang,Aceh","Aceh",9,"Stageof-Aceh-Besar",19,"aktif",2019,"INA Type-A",5,"P2",,"installed","Nanometrics-Centaur-2019-GSM","posthole","outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:27.000Z",1,"Buruk","Fair","Buruk","1.0%"
386,"IA","SKSM","-1.9460000","101.3497000",956,"Type MR, Siulak Mukai,Kerinci,Jambi","Jambi",19,"Stageof-Kepahiang",4,"aktif",2019,"INA Minireg",4,"P2",,"installed","Nanometrics-Centaur-2019-GSM",,"outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:27.000Z",0,"Mati","Fair","Mati","0.0%"
387,"IA","SLBFM","-8.7962150","115.9340670",77,"Station Type MR, Sekotong Tengah, Nusa Tenggara","Nusa Tenggara Barat",20,"Stageof-Mataram",25,"aktif",2020,"MR2020",1,"P1",,"installed","Kinemetrics-QuanteraQ330s+-2020-Idirect",,"outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:27.000Z",91.42,"Baik","Fair","Baik","91.4%"
388,"IA","SLSI","-2.3924000","102.5927000",76.83,"Station Sarolangun, Jambi Indonesia (BMKG)","Jambi",19,"Stageof-Kepahiang",4,"aktif",2008,"LIBRA",2,"P1",,"installed","Guralp-Minimus-2021-GSM","surface","outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:27.000Z",0,"Mati","Poor","Mati","0.0%"
389,"IA","SLSM","-0.8313200","100.6534200",389,"Type MR, Sungai Lasi,Solok,Sumatera Barat","Sumatera Barat",14,"Stageof-Padang-Panjang",20,"aktif",2019,"INA Minireg",4,"P2",,"installed","Nanometrics-Centaur-2019-GSM","posthole","outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:27.000Z",79.53,"Cukup Baik","Poor","Cukup Baik","79.5%"
390,"IA","SMKI","-0.4461000","117.2085000",97.28,"Station Samarinda, Kalimantan","Kalimantan Timur",15,"Stageof-Balikpapan",21,"aktif",2006,"LIBRA",2,"P2",,"not_installed","Guralp-Minimus+2021-GSM","surface","outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:27.000Z",1,"Buruk","Fair","Buruk","1.0%"
391,"IA","SMPI","-1.9811150","138.7107990",111,"Station Sarmi, Irian Jaya","Papua",8,"Stageof-Jayapura",8,"aktif",2007,"LIBRA",2,"P1",,"installed","Nanometrics-Centaur6-2019-Libra","surface","outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:27.000Z",0,"Mati","Good","Mati","0.0%"
392,"IA","SMRI","-7.0491500","110.4406700",203,"GEOFON Station Semarang, Java, Indonesia","Jawa Tengah",18,"Stageof-Banjarnegara",23,"aktif",2008,"GFZ",11,"P2",,"not_installed","Kinemetrics-Q330S+2020-Idirect","bunker","outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:27.000Z",91.09,"Baik","Good","Baik","91.1%"
393,"IA","SMSI","0.9885000","122.3654000",85.39,"Station Sumalata, BMG, Indonesia","Gorontalo",26,"Stageof-Gorontalo",31,"aktif",2011,"LIBRA",2,"P1",,"installed","Nanometrics-Centaur6-2020-GSM","surface","outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:27.000Z",50.26,"Buruk","Very Good","Buruk","50.3%"
394,"IA","SMSM","-0.0059230","100.1710300",361,"Type MR, Simpati,Pasaman,Sumatera Barat","Sumatera Barat",14,"Stageof-Padang-Panjang",20,"aktif",2019,"INA Minireg",4,"P2",,"installed","Nanometrics-Centaur-2019-GSM","posthole","inside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:27.000Z",99.24,"Baik","Good","Baik","99.2%"
395,"IA","SNBI","0.9632450","97.4295380",4,"Station Type A, Sirombu,Nias Barat,Sumatera Utara","Sumatera Utara",25,"Stageof-Gunung-Sitoli",30,"aktif",2019,"INA Type-A",5,"P2",,"installed","Nanometrics-Centaur-2019-GSM","posthole","outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:28.000Z",43.06,"Buruk","Poor","Buruk","43.1%"
396,"IA","SNJI","-7.7808000","111.7591000",1341,"Station Sawahan, Indonesia (JISNET)","Jawa Timur",3,"Stageof-Nganjuk",12,"aktif",2018,"REIS",8,"P1",,"installed","Meisei-G1019-2018-VSAT-M2M","surface","inside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:28.000Z",99.74,"Baik","-","Baik","99.7%"
397,"IA","SNSI","2.4089000","96.3267000",14.48,"Station Sinabang, Aceh, Indonesia (BMKG)","Aceh",9,"Stageof-Aceh-Selatan",13,"aktif",2008,"LIBRA",2,"P1",,"installed","Guralp-Minimus+2021-GSM","surface","outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:28.000Z",44.1,"Buruk","Poor","Buruk","44.1%"
398,"IA","SOEI","-9.7553000","124.2672000",0,"GEOFON Station Soe, Indonesia","Nusa Tenggara Timur",1,"Stageof-Kupang",10,"aktif",2008,"GFZ",11,"P1",,"installed","Kinemetrics-Q330-2016-VSAT-M2M","surface","outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:28.000Z",99.31,"Baik","Fair","Baik","99.3%"
399,"IA","SOMPI","-8.4310000","141.0070000",38,"Sota, Merauke, Papua","Papua Selatan",23,"Stageof-Jayapura",8,"aktif",2023,"IDRIP83",6,"P1",,"installed","Quantera-Q8-2023-Idirect",,"outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:28.000Z",99.39,"Baik","-","Baik","99.4%"
400,"IA","SPSI","-3.9646000","119.7691000",142,"Station Sidrap, Sulawesi","Sulawesi Selatan",10,"Stageof-Gowa",15,"aktif",2007,"LIBRA",2,"P2",,"installed","Nanometrics-Centaur-2025-GSM","surface","outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:28.000Z",91.8,"Baik","Good","Baik","91.8%"
401,"IA","SPSJM","-6.6669333","107.6136017",659,"Station Type MR, Serang Panjang, Jawa Barat","Jawa Barat",5,"Stageof-Bandung",5,"aktif",2020,"MR2020",1,"P2",,"installed","Kinemetrics-Q330S+2020-GSM",,"outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:28.000Z",93.49,"Baik","Fair","Baik","93.5%"
402,"IA","SPSM","2.5159600","98.3738300",999,"Type MR, Sitellu Tali Urang Julu,Pakpak Bharat,Sumatera","Sumatera Utara",25,"Stageof-Aceh-Selatan",13,"aktif",2019,"INA Minireg",4,"P2",,"installed","Nanometrics-Centaur-2019-Libra",,"outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:28.000Z",91.99,"Baik","Fair","Baik","92.0%"
403,"IA","SRBI","-8.0848000","115.2126000",111.5,"Station Singaraja, Bali","Bali",12,"Stageof-Denpasar",17,"aktif",2007,"LIBRA",2,"P1",,"installed","Guralp-Minimus+2021-GSM","surface","outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:28.000Z",1,"Buruk","Fair","Buruk","1.0%"
404,"IA","SRMI","-2.9414850","129.1818010",6,"Station Type A, Seram Utara,Maluku Tengah,Maluku","Maluku",2,"Stageof-Ambon",2,"aktif",2019,"INA Type-A",5,"P2",,"installed","Nanometrics-Centaur-2019-GSM","posthole","outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:28.000Z",1,"Buruk","Poor","Buruk","1.0%"
405,"IA","SRPI","-1.8769220","136.2401690",101,"Station Serui, Papua, Indonesia (BMKG)","Papua",8,"Stageof-Nabire",11,"aktif",2008,"LIBRA",2,"P1",,"installed","Nanometrics-Centaur6-2019-GSM","surface","inside_BMKG_office","tidak_ada","baik",,,,,"2026-07-06T04:00:28.000Z",89.02,"Cukup Baik","Fair","Cukup Baik","89.0%"
406,"IA","SRSI","-2.5315540","120.8777910",36,"Sorowako, Sulawesi Selatan","Sulawesi Selatan",10,"Stageof-Kendari",16,"aktif",2017,"LIBRA",2,"P1",,"installed","Nanometrics-Centaur6-2017-GSM","surface","outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:28.000Z",97.88,"Baik","Good","Baik","97.9%"
407,"IA","SSASI","2.8300000","95.9250000",17,"Simeulue Barat, Simeulue, Aceh","Aceh",9,"Stageof-Aceh-Selatan",13,"aktif",2023,"IDRIP83",6,"P1",,"installed","Quantera-Q8-2023-Idirect",,"outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:28.000Z",1,"Buruk","Good","Buruk","1.0%"
408,"IA","SSJM","-6.8872000","106.9626000",841,"Type MR, Sukaraja,Sukabumi,Jawa Barat","Jawa Barat",5,"Stageof-Sukabumi",26,"aktif",2019,"INA Minireg",4,"P2",,"installed","Nanometrics-Centaur-2019-GSM","posthole","outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:28.000Z",96.47,"Baik","Good","Baik","96.5%"
409,"IA","SSKI","0.8171730","108.9702550",20,"Singkawang, Kalimanta","Kalimantan Barat",28,"Stageof-Sleman",29,"aktif",2017,"LIBRA",2,"P1",,"installed","Nanometrics-Centaur6-2017-GSM","surface","outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:28.000Z",84.2,"Cukup Baik","Fair","Cukup Baik","84.2%"
410,"IA","SSMI","-3.7368070","130.8288080",10,"Station Type A, Siritaun Wida Timur,Seram Bagian","Maluku",2,"Stageof-Ambon",2,"aktif",2019,"INA Type-A",5,"P2",,"installed","Nanometrics-Centaur-2019-Libra","posthole","outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:29.000Z",1,"Buruk","Fair","Buruk","1.0%"
411,"IA","SSSI","2.6749200","97.9707700",56,"Subulussalam, Sumatra, Indonesia","Aceh",9,"Stageof-Aceh-Selatan",13,"aktif",2018,"REIS",8,"P1",,"installed","Meisei-G1019-2018-VSAT-M2M","surface","outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:29.000Z",90.47,"Baik","Fair","Baik","90.5%"
412,"IA","SSSM","-1.5640700","101.2374700",563,"Type MR, Sangir,Solok Selatan,Sumatera Barat","Sumatera Barat",14,"Stageof-Padang-Panjang",20,"aktif",2019,"INA Minireg",4,"P1",,"installed","Nanometrics-Centaur-2019-GSM","posthole","outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:29.000Z",0,"Mati","Fair","Mati","0.0%"
413,"IA","STSI","-2.3887400","101.0478300",16,"Station Type B Silaut,Pesisir Selatan,Sumatera Barat","Sumatera Barat",14,"Stageof-Padang-Panjang",20,"aktif",2019,"INA Type-B",7,"P1",,"installed","Kinemetrics-Q330S-2019-GSM",,"outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:29.000Z",82.23,"Cukup Baik","Poor","Cukup Baik","82.2%"
414,"IA","SUPJI","-6.7960000","105.5150000",51,"Sumur, Pandeglang, Banten","Banten",21,"Stageof-Tangerang",22,"aktif",2023,"IDRIP83",6,"P1",,"installed","Quantera-Q8-2023-Idirect",,"outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:29.000Z",35.87,"Buruk","Good","Buruk","35.9%"
415,"IA","SUSM","-5.0212000","104.2945000",1055,"Type MR, Sekincau,Lampung Barat,Lampung","Lampung",29,"Stageof-Lampung-Utara",24,"aktif",2019,"INA Minireg",4,"P1",,"installed","Nanometrics-Centaur-2019-GSM","posthole","outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:29.000Z",84.8,"Cukup Baik","Fair","Cukup Baik","84.8%"
416,"IA","SUSPI","-0.7320000","135.7340000",11,"Supiori Timur, Supiori, Papua","Papua",8,"Stageof-Jayapura",8,"aktif",2023,"IDRIP83",6,"P1",,"installed","Quantera-Q8-2023-Idirect",,"outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:29.000Z",1,"Buruk","Poor","Buruk","1.0%"
417,"IA","SWCM","-4.2145000","120.0109000",23,"Type MR, Sabbang Paru,Wajo,Sulawesi Selatan","Sulawesi Selatan",10,"Stageof-Gowa",15,"aktif",2019,"INA Minireg",4,"P2",,"installed","Nanometrics-Centaur-2019-GSM",,"outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:29.000Z",80.61,"Cukup Baik","Fair","Cukup Baik","80.6%"
418,"IA","SWI","-0.8628000","131.2592000",128.88,"Station Sorong, Indonesia","Papua Barat",6,"Stageof-Sorong",6,"aktif",2005,"LIBRA",2,"P1",,"installed","Guralp-Minimus+2021-Idirect","surface","inside_BMKG_office","tidak_ada","baik",,,,,"2026-07-06T04:00:29.000Z",90.77,"Baik","Fair","Baik","90.8%"
419,"IA","SWJI","-7.7349000","111.7669000",723.33,"Station Sawahan, Java","Jawa Timur",3,"Stageof-Nganjuk",12,"aktif",2006,"LIBRA",2,"P2",,"installed","Guralp-Minimus+2021-GSM","surface","outside_BMKG_office","tidak_ada","baik",,,,,"2026-07-06T04:00:29.000Z",45.9,"Buruk","Good","Buruk","45.9%"
420,"IA","SWPM","-0.8035000","133.5940000",172,"Station Type MR, Sidey, Manokwari, Papua","Papua Barat",6,"Stageof-Nabire",11,"aktif",2020,"MR2020",1,"P1",,"installed","Kinemetrics-Q330S+2020-GSM",,"outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:29.000Z",90.74,"Baik","Good","Baik","90.7%"
421,"IA","SYJI","-7.8115740","110.4711100",138,"Sleman, Yogyakarta, Jawa, Indonesia","Yogyakarta",24,"Stageof-Sleman",29,"aktif",2021,"BB2021",13,"P1",,"installed","Guralp-Minimus+2021-GSM","posthole","outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:29.000Z",99.58,"Baik","Good","Baik","99.6%"
422,"IA","TAGJI","-8.0770000","110.5850000",243,"Tanjungsari, Gunung Kidul, DIY","Yogyakarta",24,"Stageof-Sleman",29,"aktif",2023,"IDRIP83",6,"P1",,"installed","Quantera-Q8-2023-VSAT-M2M",,"outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:29.000Z",99.86,"Baik","Very Good","Baik","99.9%"
423,"IA","TAMI","-3.6759060","128.1108030",174,"Station Type A, Teluk Ambon,Kota Ambon,Maluku","Maluku",2,"Stageof-Ambon",2,"aktif",2019,"INA Type-A",5,"P2",,"installed","Nanometrics-Centaur-2019-GSM",,"outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:29.000Z",1,"Buruk","Fair","Buruk","1.0%"
424,"IA","TAPSI","-3.3320000","119.2490000",56,"Tapango, Polewali Mandar, Sulawesi Barat","Sulawesi Barat",31,"Stageof-Gowa",15,"aktif",2023,"IDRIP83",6,"P1",,"installed","Quantera-Q8-2023-Idirect",,"outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:29.000Z",88.6,"Cukup Baik","Very Good","Cukup Baik","88.6%"
425,"IA","TARAI","3.3271200","117.5703700",95,"Station Tarakan, Kalimantan, Indonesia (JISNET)","Kalimantan Utara",32,"Stageof-Balikpapan",21,"aktif",2006,"REIS",8,"P2",,"installed","Meisei-G1019-2018-GSM","surface","outside_BMKG_office","tidak_ada","baik",,,,,"2026-07-06T04:00:29.000Z",80.44,"Cukup Baik","Poor","Cukup Baik","80.4%"
426,"IA","TASI","-0.3241000","100.0791000",25,"Station Type A, Tanjung Raya,Agam,Sumatera Barat","Sumatera Barat",14,"Stageof-Padang-Panjang",20,"aktif",2019,"INA Type-A",5,"P2",,"installed","Nanometrics-Centaur-2019-GSM","posthole","outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:29.000Z",88.77,"Cukup Baik","Fair","Cukup Baik","88.8%"
427,"IA","TASSI","2.3470000","125.3860000",46,"Tagulandang, Siau Tagulandang Biaro, Sulawesi Utara","Sulawesi Utara",30,"Stageof-Manado",32,"aktif",2023,"IDRIP83",6,"P1",,"installed","Quantera-Q8-2023-Idirect",,"outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:29.000Z",88.92,"Cukup Baik","Good","Cukup Baik","88.9%"
428,"IA","TBCM","-4.9117704","120.2829900",64,"Type MR, Tonra,Bone,Sulawesi Selatan","Sulawesi Selatan",10,"Stageof-Gowa",15,"aktif",2019,"INA Minireg",4,"P2",,"installed","Nanometrics-Centaur-2019-GSM",,"inside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:29.000Z",99.4,"Baik","Fair","Baik","99.4%"
429,"IA","TBJI","-6.8179000","111.8481000",54.45,"Station Tambak Boyo, Java","Jawa Timur",3,"Stageof-Pasuruan",3,"aktif",2007,"LIBRA",2,"P2",,"installed","Nanometrics-Centaur-2017-GSM","surface","outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:29.000Z",97.33,"Baik","Good","Baik","97.3%"
430,"IA","TBJKI","-1.8475030","115.6249080",81.6,"Jaro, Tabalong, Kalimantan Selatan","Kalimantan Selatan",27,"Stageof-Balikpapan",21,"aktif",2023,"ALOPTAMA 2023",9,"P2",,"installed","Guralp-Minimus+2023-Idirect",,"outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:29.000Z",96.59,"Baik","Good","Baik","96.6%"
431,"IA","TBKI","2.1360000","117.4241000",22,"Station Type A, Teluk Bayur,Berau,Kalimantan Timur","Kalimantan Timur",15,"Stageof-Balikpapan",21,"aktif",2019,"INA Type-A",5,"P2",,"installed","Nanometrics-Centaur-2019-GSM","posthole","outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:29.000Z",92.35,"Baik","Good","Baik","92.3%"
432,"IA","TBMCM","0.7139000","124.5900000",254,"Station Type MR, Tutuyan, Bolaang Timur, Mongondow,","Sulawesi Utara",30,"Stageof-Manado",32,"aktif",2020,"MR2020",1,"P2",,"installed","kinemetrics-Q330S+2020-GSM",,"outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:29.000Z",89.97,"Cukup Baik","Good","Cukup Baik","90.0%"
433,"IA","TBMUI","-1.9000000","124.3440000",8,"Taliabu Barat, Pulau Taliabu, Maluku Utara","Maluku Utara",13,"Stageof-Ternate",18,"aktif",2023,"IDRIP83",6,"P2",,"installed","Quantera-Q8-2023-Idirect",,"outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:30.000Z",89.79,"Cukup Baik","Good","Cukup Baik","89.8%"
434,"IA","TDNI","0.5743820","97.8196170",59,"Teluk Dalam, Pulau Nias","Sumatera Utara",25,"Stageof-Gunung-Sitoli",30,"aktif",2017,"LIBRA",2,"P1",,"installed","Nanometrics-Centaur6-2017-GSM","surface","outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:30.000Z",79.01,"Cukup Baik","Fair","Cukup Baik","79.0%"
435,"IA","TEBBI","-8.1511830","115.3733440",301.5,"Tejakula, Buleleng, Bali","Bali",12,"Stageof-Denpasar",17,"aktif",2023,"ALOPTAMA 2023",9,"P1",,"installed","Guralp-Minimus+2023-Idirect",,"outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:30.000Z",84.69,"Cukup Baik","Very Good","Cukup Baik","84.7%"
436,"IA","TGCM","0.5201000","123.0778000",163,"Type MR, Telaga,Gorontalo,Gorontalo","Gorontalo",26,"Stageof-Gorontalo",31,"aktif",2019,"INA Minireg",4,"P2",,"installed","Nanometrics-Centaur-2019-GSM",,"outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:30.000Z",99.77,"Baik","Very Good","Baik","99.8%"
437,"IA","TIKSI","-3.9770000","121.8660000",137,"Tinondo, Kolaka Timur, Sulawesi Tenggara","Sulawesi Tenggara",11,"Stageof-Kendari",16,"aktif",2023,"IDRIP83",6,"P1",,"installed","Quantera-Q8-2023-Idirect",,"outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:30.000Z",99.33,"Baik","Good","Baik","99.3%"
438,"IA","TIPSI","0.4890000","120.4190000",41,"Tinombo / Palasa, Parigi Moutong, Sulawesi Tengah","Sulawesi Tengah",7,"Stageof-Palu",7,"aktif",2023,"IDRIP83",6,"P1",,"installed","Quantera-Q8-2023-Idirect",,"outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:30.000Z",78.75,"Cukup Baik","Very Good","Cukup Baik","78.8%"
439,"IA","TKSM","3.1374000","98.3244000",720,"Type MR, Tiganderket,Karo,Sumatera Utara","Sumatera Utara",25,"Stageof-Deli-Serdang",27,"aktif",2019,"INA Minireg",4,"P1",,"installed","Nanometrics-Centaur-2019-Libra",,"inside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:30.000Z",90.71,"Baik","Fair","Baik","90.7%"
440,"IA","TLCM","-2.5092500","120.7943600",86,"Type MR, Tomoni,Luwu Timur,Sulawesi Selatan","Sulawesi Selatan",10,"Stageof-Kendari",16,"aktif",2019,"INA Minireg",4,"P2",,"installed","Nanometrics-Centaur-2019-GSM",,"outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:30.000Z",98.31,"Baik","Fair","Baik","98.3%"
441,"IA","TLE2","-5.6994300","132.7395200",34,"Station Tual, Kai, JISNET, Indonesia","Maluku",2,"Stageof-Maluku-Tenggara-Barat",9,"aktif",2009,"REIS",8,"P1",,"installed","Meisei-G1019-2018-VSAT-M2M","surface","inside_BMKG_office","tidak_ada","baik",,,,,"2026-07-06T04:00:30.000Z",92.39,"Baik","-","Baik","92.4%"
442,"IA","TMSI","1.2948120","124.9255710",771,"Station TMSI","Sulawesi Utara",30,"Stageof-Manado",32,"aktif",2012,"LIBRA",2,"P2",,"installed","Nanometrics-Centaur-2023-GSM","surface","outside_BMKG_office","tidak_ada","baik",,,,,"2026-07-06T04:00:30.000Z",88.85,"Cukup Baik","Good","Cukup Baik","88.8%"
443,"IA","TMSM","-2.6995400","101.4463300",118,"Type MR, Teramang Jaya,Mukomuko,Bengkulu","Bengkulu",4,"Stageof-Kepahiang",4,"aktif",2019,"INA Minireg",4,"P2",,"installed","Nanometrics-Centaur-2019-Libra",,"outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:30.000Z",91.61,"Baik","Good","Baik","91.6%"
444,"IA","TMTMM","-3.2980200","129.5304400",17,"Station Type MR, Tehoru, Maluku Tengah","Maluku",2,"Stageof-Ambon",2,"aktif",2020,"MR2020",1,"P1",,"installed","Kinemetrics-Q330S+2020-Idirect",,"outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:30.000Z",86.37,"Cukup Baik","Good","Cukup Baik","86.4%"
445,"IA","TNGI","-6.1720000","106.6470000",40,"Station Tangerang China","Banten",21,"Stageof-Tangerang",22,"aktif",2006,"China",3,"P2",,"installed","Guralp-Minimus+2024-GSM","surface","outside_BMKG_office","tidak_ada","baik",,,,,"2026-07-06T04:00:30.000Z",81,"Cukup Baik","Poor","Cukup Baik","81.0%"
446,"IA","TNTI","0.7718000","127.3667000",43,"GEOFON Station Ternate, Indonesia","Maluku Utara",13,"Stageof-Ternate",18,"aktif",2008,"GFZ",11,"P1",,"not_installed","Kinemetrics-Q330-2007-GSM","bunker","outside_BMKG_office","tidak_ada","baik",,,,,"2026-07-06T04:00:30.000Z",99.02,"Baik","Fair","Baik","99.0%"
447,"IA","TOBSI","-1.4460000","122.2500000",43,"Toili, Banggai, Sulawesi Tengah","Sulawesi Tengah",7,"Stageof-Palu",7,"aktif",2023,"IDRIP83",6,"P1",,"installed","Quantera-Q8-2023-Idirect",,"outside_BMKG_office","ada","baik",,,,,"2025-10-23T07:13:45.000Z",89,"Cukup Baik","Fair","Cukup Baik","89.0%"
448,"IA","TOCM","-2.6473980","121.4080320",342,"Type MR, Towuti,Luwu Timur,Sulawesi Selatan","Sulawesi Selatan",10,"Stageof-Kendari",16,"aktif",2019,"INA Minireg",4,"P2",,"installed","Nanometrics-Centaur-2019-Libra","posthole","outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:30.000Z",88.04,"Cukup Baik","Very Good","Cukup Baik","88.0%"
449,"IA","TOJI","-6.7621000","108.1344000",73,"Station Type B Tomo,Sumedang,Jawa Barat","Jawa Barat",5,"Stageof-Bandung",5,"aktif",2019,"INA Type-B",7,"P2",,"installed","Kinemetrics-Q330S+2019-GSM","surface","outside_BMKG_office","ada","baik",,,,,"2026-07-06T04:00:30.000Z",1,"Buruk","Poor","Buruk","1.0%"
